Arc Number,From Node,To Node,,,,
1,1,2,,,,
2,2,3,,,,
3,3,4,,,,
4,4,5,,,,
5,1,21,,,,
6,21,26,,,,
7,26,28,,,,
8,28,34,,,,
9,3,14,,,,
10,14,15,,,,
11,15,18,,,,
12,18,22,,,,
13,22,25,,,,
14,25,27,,,,
15,27,30,,,,
16,28,29,,,,
17,29,30,,,,
18,34,35,,,,
19,30,35,,,,
20,35,37,,,,
21,37,39,,,,
22,39,40,,,,
23,39,43,,,,
24,40,41,,,,
25,43,41,,,,
26,41,42,,,,
27,43,44,,,,
28,43,48,,,,
29,44,54,,,,
30,48,53,,,,
31,54,53,,,,
32,54,58,,,,
33,53,57,,,,
34,58,57,,,,
35,58,59,,,,
36,42,46,,,,
37,53,55,,,,
38,46,45,,,,
39,55,51,,,,
40,45,47,,,,
41,47,50,,,,
42,50,49,,,,
43,55,51,,,,
44,51,52,,,,
45,5,6,,,,
46,6,7,,,,
47,7,8,,,,
48,8,9,,,,
49,9,10,,,,
50,7,11,,,,
51,11,12,,,,
52,10,11,,,,
53,15,16,,,,
54,16,17,,,,
55,17,19,,,,
56,19,23,,,,
57,18,19,,,,
58,22,23,,,,
59,30,31,,,,
60,37,38,,,,
61,38,45,,,,
62,31,38,,,,
63,12,60,,,,
64,60,13,,,,
65,13,20,,,,
66,20,24,,,,
67,19,13,,,,
68,23,24,,,,
69,24,32,,,,
70,32,33,,,,
71,33,36,,,,
72,36,56,,,,
73,31,33,,,,
